plz;supermarkt;adresse
67663;Netto;Zollamtstraße 18
67677;Netto;Rosenhofstraße 48
67677;Lidl;Rosenhofstraße 54
67685;Zemo;Danziger Straße 
67685;Aldi Süd;Danziger Straße 28
67685;Wasgau;Danziger Straße 6
67685;Netto Marken-Discount;Danziger Straße 16
67685;Lidl;Europastraße 3
67685;Edeka;Isigny-Allee 1
67685;Penny;Danziger Straße 8
67688;Wasgau;Am Tränkwald 2
67691;Netto;Hauptstraße 27
67691;Penny;Hauptstraße 35
67697;Obst Gemüse Feinkost Kühn;Hauptstraße 68
67700;Wasgau Supermarkt;Talstraße 4
67705;Karlstal Frische-Markt;Hauptstraße 107
67714;Aldi;In der Schorbach 11
67714;Lidl;Hauptstraße 106-110
67731;Aldi;Im Brühl 7
67731;Wasgau;Ziegelhütterstraße 69
67731;Lidl;Ziegelhütterstraße 67
67742;Netto;Lautertalstraße 
67742;Aldi Süd;Saarbrücker Straße 1e
67742;Lidl;Saarbrücker Straße 11
67742;Wasgau;Saarbrücker Straße 9
67752;Wasgau;Pfingstweide 17
67806;Aldi;An der Linde 14
67806;Edeka;An der Linde 7
67821;Norma;Niedermoscheler Straße 1
76726;Vollmer.Markt;Am Alten Bahnhof 1
76726;Real;Mainzer Straße 6
76726;Kaufland;Posthiusstraße 5
76726;Netto Marken-Discount;Sepp-Herberger-Straße 1
76726;Penny;Friedrich-Ebert-Straße 2
76744;LIDL;Ottstraße 50
76744;Rewe;Marktstraße 2
76744;Serpa Markt;Marktstraße 10
76744;Netto;Wolfsgewanne 3
76744;Aldi Süd;Im Bödel 1
76744;Nahkauf;Tullastraße 11
76744;LIDL;Kühgrunddamm 2
76751;Aldi Süd;Mittelwegring 45
76751;PENNY;Buchstraße 13
76756;Aldi Süd;Waldstückerring 30
76756;Lidl;Waldstückerring 24
76756;Netto Marken-Discount;Fortmühlstraße 18A
76756;Edeka;Am Weidensatz 22
76761;Norma;Gutenbergstraße 1A
76761;Rewe;Gutenbergstraße 1
76761;EDEKA Fitterer;Germersheimer Straße 9
76761;Netto;Nordring 1
76764;Aldi Süd;Neun-Morgen 15
76764;Rewe;Jockgrimer Straße 41
76764;Penny;Neun-Morgen 2
76767;Rewe;Im Wooge 1
76768;Netto;Mühläcker 8c
76768;Penny Markt;Mühläcker 2
76770;Netto;Kirchstraße 30
76829;Aldi Süd;Annweilerstraße 17
76829;Rewe;Königstraße 22
76829;SBK compact;Taubensuhlstraße 1
76829;Dorfladen;Mörlheimer Hauptstraße 67
76829;Netto Marken-Discount;Horstring 18a
76829;SBK;Johannes-Kopp-Straße 12
76829;C&C;Johannes-Kopp-Straße 10
76829;Lidl;Im Justus 2a
76829;Real;Maximilianstraße 11
76829;Aldi Süd;Maximilianstraße 34
76829;Netto Marken-Discount;Charles-de-Gaulle-Straße 2
76829;Rewe;Haardtstraße 2
76829;Lidl;Wieslauterstraße 57
76829;Rewe;Haardtstraße 2
76829;Norma;Horststraße 37
76831;EDEKA;Firststraße 27
76846;Netto Marken-Discount;Pirmasenser Straße 6
76846;Penny;Pirmasenser Straße 1
76846;Edeka Schopfer;Queichstraße 1
76855;Wasgau Center;Landauer Straße 33
76855;Aldi Süd;Landauer Straße 69
76855;netto;In den Bruchwiesen 2
76863;Aldi Süd;Im Riegel 5
76863;Penny;Im Riegel 6
76863;CAP-Markt;Obere Hauptstraße 7
76863;Netto;Industriestraße 1
76863;Edeka Albrecht;St.-Christophorus-Straße 1a
76865;Wasgau;Hauptstraße 93
76865;Aldi Süd;Hauptstraße 93
76870;Aldi Süd;Lauterburger Straße 13
76870;Edeka;Lauterburger Straße 11a
76870;SBK;Nansenstraße 2
76870;LIDL;Klärstraße 2
76870;Netto Marken-Discount;Saarstraße 80
76877;Wasgau;Landauer Straße 3
76877;Netto Marken-Discount;Hochstadter Straße 18
76877;Penny;Interpark 1
76879;Edeka;Hornbachstraße 17
76879;Angushof Carius;Ludwigstraße 50
76879;Edeka;Neustadter Straße 3
76887;Sepp's Laden;Bärengasse 11
76887;Biomarkt Brennessel;Marktstraße 4
76887;SBK;Kapeller Straße 
76887;Netto;Klingweg 2
76887;Penny;Lindelbrunnstraße 1
76887;E aktiv markt Albrecht;Kapeller Straße 11
76889;Aldi;Im Weidfeld 2
76889;DM;Im Weidfeld 
76889;Lidl;Im Weidfeld 18-24
76889;Edeka Aktiv Markt Paul;Alte Landstraße 10
76889;Penny;An der Schmalwiese 1
76891;Wasgau;Industriestraße 4-6
76891;Netto;Hauptstraße 3
21039;ALDI Nord;Zwischen den Kreiseln 10
21039;Lidl;Am Bornbusch 1
21039;Aldi;Neuengammer Hausdeich 205
21465;Aldi Nord;Am Casinopark 14
21465;Edeka;Hauptstraße 2
21465;Penny;Hermann-Körner-Straße 49
21465;Getränkeland;Hermann-Körner-Straße 53
