plz;supermarkt;adresse
13507;Edeka;Bernauer Straße 69-73
13581;Bio Company;Klosterstraße 34
13581;Edeka Am Brunsi;Brunsbütteler Damm 196
13581;Netto Marken-Discount;Brunsbütteler Damm 208
13581;Penny Am Brunsi;Brunsbütteler Damm 196
13585;Edeka Schiwik;Flankenschanze 32
13585;Lidl;Falkenseer Damm 19
13585;Lidl;Neuendorfer Straße 30
13585;Rewe;Schönwalder Straße 32
13587;Aldi;Streitstraße 5-19
13587;Rewe;Rauchstraße 56
13587;Rewe;Rustweg 1
13593;Penny;Heerstraße 378-382
13595;Alnatura;Heerstraße 221
13595;Rewe City;Pichelsdorfer Straße 110
13595;Tedi;Adamstraße 5
13597;Edeka;c(13.2047625, 52.5374738) 271738194
13599;Edeka;Gartenfelder Straße 86
13599;Kaufland;Am Juliusturm 42-46
13599;Metro;Nonnendammallee 135
13627;Edeka;Heckerdamm 225
13629;Edeka;Jungfernheideweg 2
13629;Netto;Siemensdamm 43-44
13629;Rewe;Nonnendammallee 120
13629;Rewe;Siemensdamm 43-44
13629;Özgür Market;Nonnendammallee 89
14050;Edeka Laurman;Steubenplatz 4
14052;Aldi;Theodor-Heuss-Platz 7
14052;Bio Company;Reichsstraße 10
14052;Edeka Reichsstraße;Reichsstraße 94
14052;Netto Marken-Discount;Heerstraße 11
14052;Rewe City;Theodor-Heuss-Platz 6
14055;Rewe City;Angerburger Allee 45
14057;Edeka Neue Kantstraße;Neue Kantstraße 29-30
14057;Kostbar;Leonhardtstraße 2
14057;LPG Biomarkt;Kaiserdamm 12
14057;denn's Biomarkt;Kaiserdamm 112
14059;Edeka Danckelmannstraße;Danckelmannstraße 57-60
14059;Netto;Sophie-Charlotten-Straße 25
14059;Rewe City;Wundtstraße 26
14089;Berlin berries garden self-pick;Straße 265 NA
14089;Bio Company;Kladower Damm 362-364
14089;Edeka;Kladower Damm 366 B
14089;Rewe;Sakrower Landstraße 1 A
14109;Aldi;Königstraße 56/57
14109;denn's Biomarkt;Chausseestraße 21
14129;Edeka;Potsdamer Chaussee 80
14163;Rewe City;Fischerhüttenstraße 68
14167;Aldi;Teltower Damm 37-39
14167;Lidl;Mühlenstraße 2
14169;Basic Biomarkt;Clayallee 328-334
14169;Bio Company;Teltower Damm 13
14169;Lidl;Clayallee 278
14169;Nahkauf;Ladenstraße 99
14169;Rewe;Clayallee 336
14193;Edeka;Salzbrunner Straße 18-20
14193;Edeka;Trabener Straße 2
14195;denn's Biomarkt;Clayallee 177
14197;Aldi;Mecklenburgische Straße 23a
14197;Edeka;Kreuznacher Straße 68
14197;Edeka;Laubacher Straße 13
14197;Rewe;Südwestkorso 36
14197;Vitalia;Rüdesheimer Straße 2
14199;Ledo;Forckenbeckstraße 1
14199;Markant Nah & Frisch;Hohenzollerndamm 50a
14467;Alnatura;Hebbelstraße 1 D
14467;Bio Company;Gutenbergstraße 20-22
14467;Bio Company;Schiffbauergasse 4b
