plz	supermarkt	adresse	nr	lat	lon	id
58023	COOP	Via Guido Rossa		42.9373505	10.8868314	440062955
	Tuttidì Market			45.5633091	11.5627938	440069984
	COOP			42.9251975	10.9074214	440145119
				41.1275013	16.5460158	440505579
	Penny Market			44.8123796	10.3379941	440891975
	Cadoro	Via Antonio Giuriolo	3	44.5260436	11.3493431	440950016
	Eurospin			42.4843727	14.1883592	441399958
				44.8586772	10.0744876	441918990
	Ipercoop			44.5142931	11.3297731	441946402
	Aste			45.7403673	11.2618539	442863951
	Despar express	Piazzale della Stazione	14	45.4176433	11.8796227	442918389
34170	In's Mercato	Corso Italia	169	45.9371685	13.6112420	443041369
	inCoop		1491a	45.4403858	12.3276735	443122709
	Vinschger Bauernladen			46.6481130	10.9759678	443138308
	il Gigante			45.6875955	9.1891178	443249012
22060	Eurospin	Via Filippo Turati		45.6661206	9.1861198	443368166
00156		Via Giovanni Battista Manzella	20	41.9376724	12.5794402	443404811
	MD			46.6504207	10.9957905	443422831
	Coop	via A. Buozzi		43.8199743	11.1409572	443635871
	Despar			46.6729503	11.1597650	443705486
	Despar			46.6746638	11.1571282	443705487
				41.9437907	12.5641697	443892875
				43.6106871	11.4429135	443931790
	SM			45.6219367	12.5564487	445127384
				45.6227078	12.5647957	445132368
	Esselunga			45.5138157	9.3239186	445313153
	CoopCa			45.9588745	12.6402055	445512729
	Famila			45.4047574	11.2663778	446042475
	WMark	Via Guido Rossa	55	41.2339887	16.3005040	447090976
	MD			45.2506901	8.7277103	447688110
	Lidl			45.2508898	8.7530675	447688125
	"Bennet ""Lomellina"""			45.2432920	8.7471241	447688133
	Unes			45.0713843	7.6077706	447726429
	Esselunga			43.9117588	10.2221938	448196475
30013	Supermercato DESPAR GARDEN	Via Francesco Baracca	55	45.4784269	12.5635450	448432936
00156	Tuodì	Via Casal Tidei	101	41.9412252	12.5802360	448755166
	Alimentari			46.2072921	8.2492084	448941808
	Coop			46.1160815	8.2956695	448941944
25010	F&D	Via dietro Castello		45.5864638	10.5482372	449135264
	Italmark			45.6030544	10.5183713	449135610
				45.5689253	10.5106177	449136169
	Milk			44.6749222	11.2998361	449912722
98066	Deco	Via Giovanni XXIII		38.1499510	14.9732084	451015071
98066	Euro Spin	Via Giovanni XXIII		38.1478647	14.9789638	451015085
	Italmark			45.6443292	10.5016515	452387049
37010	DeBeni	Via della Repubblica	1	45.5849064	10.7428163	452450710
	IperOrvea			45.5521711	10.7842688	452450712
	Coop			44.3153148	11.2561070	453235139
	Conad Primavera			44.5953858	10.6944253	453371930
	Ali			45.4783624	12.5491964	454126711
	Famiglia Cooperativa			46.3915843	12.1082770	454163269
	Conad			43.9375567	10.3019045	454336522
	Despar			45.6244706	10.4968752	454915796
	Jolly			45.7505056	10.7980417	455197230
	Dpiú			45.6355944	13.0276516	455901146
	Sir-Conad			41.8720922	12.5151327	456326376
	COOP			42.5876603	11.5197409	456864579
	Simply Market			42.5872330	11.5225587	456864582
	DESPAR			42.6751716	11.5483246	456889976
