26939;Burgdorf Laden;Bahnhofstraße 34
27232;E center;Schützenstraße 13
27283;E-Center;Holzmarkt 13
27283;Lidl;Johanniswall 1-7
27283;Naturis Bioladen & Bistro;Johanniswall 1
27283;Rewe;Im Ohrt 5
27327;E-Neukauf Kööp in;Hauptstraße 23
27327;Edeka;Hauptstraße 23
27336;Aldi;Stöckener Straße 12
27339;NP.;Auf dem Felde 1
27419;Penny;Bahnhofstraße 23
27419;Rewe;Stader Straße 28
27419;Aldi;Stader Straße 11
27419;Lidl;Stader Straße 13
27419;Edeka;Hamburger Straße 3
27472;ALECO BioMarkt;Schillerstraße 4
27478;Edeka Holling;St.-Annen-Weg 2
27478;Netto;Hauptstraße 48
27619;Aldi Nord;Neufelder Weg None
27619;SolarCamp24;Marnkeweg 38
27628;Bürgermarkt;Amtsdamm 40
27749;koopje;Lange Straße 98
27755;EDEKA Center Schlottmann;Seestraße 5
28790;Penny;Heidkamp 18
28790;Combi;Am Markt 6-52
28832;Netto Marken-Discount;Uphuser Heerstraße 50
28857;Edeka Stellmann;Steinheide 1
28857;Famila;Zum Hachepark 8
28870;ALECO BioMarkt;Grüne Straße 19
29221;Kornstube;Spörckenstraße 76
29225;real,-;An der Hasenbahn 3
29225;ALDI;An der Hasenbahn 3
29229;Famila Nordost;Zur Hasselklink 3-5
29303;Motor-Service Hohls Motorrad Handelsgesellschaft mit beschränkter Haftung;Hünenburg 10
29308;Lidl;Poststraße 30
29308;Aldi;Meißendorfer Straße 4
29313;EDEKA Schulze;Hehlenbruchweg 1
29313;Edeka;Wiesenweg 23
29339;Lidl;Nienhagener Straße 1a
29348;Aldi;Celler Straße 50A
29351;Hofladen Kastanienhof Metzingen;Lindenstraße 16
29378;Rewe;Knesebecker Straße 2-8
29378;Lidl;Knesebecker Straße 2-8
29389;E aktiv markt Holzmüller;Bergstraße 8
29392;EDEKA Eisbrenner;Gifhorner Straße 13
29439;Aldi;Drawehner Straße 6
29439;Edeka;Drawehner Straße 6-10
29439;Rewe;Theodor-Körner-Straße 18
29451;Oikos-Naturkostladen II;Lüchower Straße 80 A
29459;Netto Marken-Discount;Lange Straße 11-12
29475;Edeka;Hauptstraße 13
29525;Penny;Celler Straße 67
29525;Kaufland;Bahnhofstraße 2-4
29549;Aldi Nord;Medinger Straße 32
29549;Netto Marken-Discount;Medinger Straße 12-16
29571;Frischemarkt Külbs;Bevensener Straße 4
29574;Penny;Kiebitzkamp 1
29646;Museumsladen Tante Dora Stuv;Wilsede 9a
29646;Penny;Töpinger Straße 10
29646;Lidl;Soltauer Straße 1
29646;Edeka Ehlers;Hauptstraße 2
29683;Edeka Siegel;Poststraße 2
29683;Rewe;Kirchplatz 1
29693;Edeka Neukauf Dankenbring;Allerstraße 1
30159;denn's Biomarkt;Marktstraße 43
30159;Penny;Kurt-Schumacher-Straße 36
30159;i.SHOP;Andreaestraße 8-9
30159;Bahlsen Outlet;Karmarschstraße 49
30163;Rewe;Voßstraße 55
30163;Alnatura;Jakobistraße 10
30163;Penny Markt;Waldstraße 15
